"theta","K","R","n","m","Aobs_averagepcs","B","logitB","logitA"
0.1,4,1.25,20,1,0.3382,0.346796429007478,-0.633150880128165,-0.671325959023032
0.1,4,1.25,25,1,0.34695,0.356980925814126,-0.588492036901192,-0.632473018677972
0.1,4,1.25,30,1,0.35745,0.366248990064993,-0.548342745664185,-0.586449142540289
0.1,4,1.25,35,1,0.3611,0.374802114902535,-0.51167002268212,-0.570593019324886
0.1,4,1.25,40,1,0.3712,0.382777263305905,-0.47777669620275,-0.527072240202951
0.1,4,1.25,45,1,0.37665,0.390272436265449,-0.446167190800913,-0.50379178451928
0.1,4,1.25,50,1,0.38425,0.397360584184702,-0.416474893178197,-0.471547654581942
0.1,4,1.25,20,2,0.3343,0.346796429007478,-0.633150880128165,-0.688800325180605
0.1,4,1.25,25,2,0.34455,0.356980925814126,-0.588492036901192,-0.643082804840602
0.1,4,1.25,30,2,0.3543,0.366248990064993,-0.548342745664185,-0.600190987760995
0.1,4,1.25,35,2,0.35925,0.374802114902535,-0.51167002268212,-0.578620840285046
0.1,4,1.25,40,2,0.3682,0.382777263305905,-0.47777669620275,-0.539946619569007
0.1,4,1.25,45,2,0.37235,0.390272436265449,-0.446167190800913,-0.522148414107563
0.1,4,1.25,50,2,0.38375,0.397360584184702,-0.416474893178197,-0.473661426455493
0.1,4,1.25,20,3,0.33355,0.346796429007478,-0.633150880128165,-0.692172338894503
0.1,4,1.25,25,3,0.33965,0.356980925814126,-0.588492036901192,-0.664854321852502
0.1,4,1.25,30,3,0.3497,0.366248990064993,-0.548342745664185,-0.620358150805776
0.1,4,1.25,35,3,0.35705,0.374802114902535,-0.51167002268212,-0.588191132721329
0.1,4,1.25,40,3,0.3657,0.382777263305905,-0.47777669620275,-0.550708703484516
0.1,4,1.25,45,3,0.3713,0.390272436265449,-0.446167190800913,-0.526643834205981
0.1,4,1.25,50,3,0.3801,0.397360584184702,-0.416474893178197,-0.489123798712671
0.1,4,1.25,20,4,0.33015,0.346796429007478,-0.633150880128165,-0.707506710082415
0.1,4,1.25,25,4,0.34085,0.356980925814126,-0.588492036901192,-0.659508628395185
0.1,4,1.25,30,4,0.3502,0.366248990064993,-0.548342745664185,-0.618160203383248
0.1,4,1.25,35,4,0.35635,0.374802114902535,-0.51167002268212,-0.591241706157764
0.1,4,1.25,40,4,0.3621,0.382777263305905,-0.47777669620275,-0.566261114476314
0.1,4,1.25,45,4,0.37175,0.390272436265449,-0.446167190800913,-0.524716591083437
0.1,4,1.25,50,4,0.3779,0.397360584184702,-0.416474893178197,-0.498471241165531
0.1,4,1.5,20,1,0.4117,0.4279752589145,-0.290116856453946,-0.356942093094551
0.1,4,1.5,25,1,0.42555,0.446248529544567,-0.215839938855616,-0.300030611376404
0.1,4,1.5,30,1,0.44675,0.462755795200089,-0.149253273911581,-0.213810824891622
0.1,4,1.5,35,1,0.4585,0.47787851625723,-0.0885437381819983,-0.166382774744526
0.1,4,1.5,40,1,0.47275,0.491876599988505,-0.0324964594862847,-0.109108111820317
0.1,4,1.5,45,1,0.4834,0.504936497355435,0.0197466310461166,-0.0664244123923574
0.1,4,1.5,50,1,0.4987,0.51719737649242,0.0688166512129745,-0.00520001171738105
0.1,4,1.5,20,2,0.4028,0.4279752589145,-0.290116856453946,-0.393811904820628
0.1,4,1.5,25,2,0.42255,0.446248529544567,-0.215839938855616,-0.312314075570605
0.1,4,1.5,30,2,0.4405,0.462755795200089,-0.149253273911581,-0.239133082375746
0.1,4,1.5,35,2,0.4547,0.47787851625723,-0.0885437381819983,-0.181698241101051
0.1,4,1.5,40,2,0.46585,0.491876599988505,-0.0324964594862847,-0.136813004495463
0.1,4,1.5,45,2,0.4778,0.504936497355435,0.0197466310461166,-0.0888584213733193
0.1,4,1.5,50,2,0.49915,0.51719737649242,0.0688166512129745,-0.00340000327533911
0.1,4,1.5,20,3,0.40225,0.4279752589145,-0.290116856453946,-0.396098820465942
0.1,4,1.5,25,3,0.4198,0.446248529544567,-0.215839938855616,-0.323594464300771
0.1,4,1.5,30,3,0.4356,0.462755795200089,-0.149253273911581,-0.259038828919854
0.1,4,1.5,35,3,0.4499,0.47787851625723,-0.0885437381819983,-0.201074744034286
0.1,4,1.5,40,3,0.4645,0.491876599988505,-0.0324964594862847,-0.14223933163391
0.1,4,1.5,45,3,0.47315,0.504936497355435,0.0197466310461166,-0.107503415091295
0.1,4,1.5,50,3,0.48895,0.51719737649242,0.0688166512129745,-0.0442071980168012
0.1,4,1.5,20,4,0.39495,0.4279752589145,-0.290116856453946,-0.426551924633633
0.1,4,1.5,25,4,0.41575,0.446248529544567,-0.215839938855616,-0.34024485534593
0.1,4,1.5,30,4,0.4355,0.462755795200089,-0.149253273911581,-0.259445587297159
0.1,4,1.5,35,4,0.44625,0.47787851625723,-0.0885437381819983,-0.215833988265496
0.1,4,1.5,40,4,0.4599,0.491876599988505,-0.0324964594862847,-0.160745233052967
0.1,4,1.5,45,4,0.47105,0.504936497355435,0.0197466310461166,-0.115929663938107
0.1,4,1.5,50,4,0.4886,0.51719737649242,0.0688166512129745,-0.0456079040334463
0.1,4,1.75,20,1,0.47055,0.496661085866134,-0.0133558550654449,-0.117936508571666
0.1,4,1.75,25,1,0.48925,0.521143274022317,0.0846235600971466,-0.043006627421546
0.1,4,1.75,30,1,0.51375,0.543036648943639,0.172573618053474,0.0550138708777884
0.1,4,1.75,35,1,0.52945,0.562892285325311,0.252908635752269,0.117936508571666
0.1,4,1.75,40,1,0.54665,0.581087039660397,0.327237389261749,0.187144289788429
0.1,4,1.75,45,1,0.56355,0.597892323917724,0.396690773695272,0.255582239506729
0.1,4,1.75,50,1,0.57925,0.613511546625812,0.462097092139002,0.31969533024157
0.1,4,1.75,20,2,0.46095,0.496661085866134,-0.0133558550654449,-0.156518753740524
0.1,4,1.75,25,2,0.4836,0.521143274022317,0.0846235600971466,-0.0656235402318497
0.1,4,1.75,30,2,0.50745,0.543036648943639,0.172573618053474,0.0298022055931389
0.1,4,1.75,35,2,0.5241,0.562892285325311,0.252908635752269,0.0964747576810559
0.1,4,1.75,40,2,0.54385,0.581087039660397,0.327237389261749,0.175851770748376
0.1,4,1.75,45,2,0.55895,0.597892323917724,0.396690773695272,0.236901776011559
0.1,4,1.75,50,2,0.57785,0.613511546625812,0.462097092139002,0.313953618305941
0.1,4,1.75,20,3,0.4582,0.496661085866134,-0.0133558550654449,-0.1675911596316
0.1,4,1.75,25,3,0.4785,0.521143274022317,0.0846235600971466,-0.0860530635478183
0.1,4,1.75,30,3,0.50145,0.543036648943639,0.172573618053474,0.0058000162594152
0.1,4,1.75,35,3,0.52225,0.562892285325311,0.252908635752269,0.0890588173162928
0.1,4,1.75,40,3,0.5414,0.581087039660397,0.327237389261749,0.165980006756397
0.1,4,1.75,45,3,0.5534,0.597892323917724,0.396690773695272,0.214417727946768
0.1,4,1.75,50,3,0.57085,0.613511546625812,0.462097092139002,0.285319969958107
0.1,4,1.75,20,4,0.4493,0.496661085866134,-0.0133558550654449,-0.203499380192322
0.1,4,1.75,25,4,0.47705,0.521143274022317,0.0846235600971466,-0.0918645500024224
0.1,4,1.75,30,4,0.50045,0.543036648943639,0.172573618053474,0.00180000048600058
0.1,4,1.75,35,4,0.5187,0.562892285325311,0.252908635752269,0.074834905048291
0.1,4,1.75,40,4,0.536,0.581087039660397,0.327237389261749,0.144249608844547
0.1,4,1.75,45,4,0.55205,0.597892323917724,0.396690773695272,0.208957002841558
0.1,4,1.75,50,4,0.5723,0.613511546625812,0.462097092139002,0.291241314182194
0.1,4,2,20,1,0.51225,0.555190883864497,0.221666751870065,0.0490098076157884
0.1,4,2,25,1,0.53815,0.584286767208361,0.34039622374461,0.152897168671688
0.1,4,2,30,1,0.563,0.6099962168459,0.447296315784388,0.2533464330441
0.1,4,2,35,1,0.57735,0.633035927100891,0.545263228152251,0.311904255022928
